1,1,1,ACTIVA,1,LOTE 1B,0,4.56071485,-72.77597285,2061958.3705,5024840.32432,
2,1,2,ACTIVA,1,LOTE 1B,0,4.56077498,-72.77604834,2061965.0109,5024831.95237,
3,1,3,ACTIVA,1,LOTE 1B,0,4.56082842,-72.77611514,2061970.9134,5024824.54356,
4,1,4,ACTIVA,1,LOTE 1B,0,4.56087985,-72.77618327,2061976.5945,5024816.98667,
5,1,5,ACTIVA,1,LOTE 1B,0,4.56094064,-72.77626010,2061983.3086,5024808.46656,
6,1,6,ACTIVA,1,LOTE 1B,0,4.56099475,-72.77632690,2061989.2850,5024801.05773,
7,1,7,ACTIVA,1,LOTE 1B,0,4.56105420,-72.77639036,2061995.8520,5024794.01906,
8,2,1,ACTIVA,1,LOTE 1B,0,4.56074915,-72.77588547,2061962.1626,5024850.01218,
9,2,2,ACTIVA,1,LOTE 1B,0,4.56080878,-72.77596069,2061968.7487,5024841.66915,
10,2,3,ACTIVA,1,LOTE 1B,0,4.56086565,-72.77603317,2061975.0307,5024833.63136,
11,2,4,ACTIVA,1,LOTE 1B,0,4.56091886,-72.77610105,2061980.9075,5024826.10230,
12,2,5,ACTIVA,1,LOTE 1B,1,4.56097757,-72.77617444,2061987.3922,5024817.96273,
13,2,6,ACTIVA,1,LOTE 1B,0,4.56102986,-72.77624324,2061993.1676,5024810.33199,
14,2,7,ACTIVA,1,LOTE 1B,0,4.56108766,-72.77631205,2061999.5511,5024802.70105,
15,2,8,ACTIVA,1,LOTE 1B,0,4.56113811,-72.77638544,2062005.1236,5024794.56178,
16,3,1,ACTIVA,1,LOTE 1B,0,4.56077898,-72.77580251,2061965.4622,5024859.20992,
17,3,2,ACTIVA,1,LOTE 1B,0,4.56083844,-72.77587599,2061972.0288,5024851.06020,
18,3,3,ACTIVA,1,LOTE 1B,0,4.56089655,-72.77595014,2061978.4478,5024842.83645,
19,3,4,ACTIVA,1,LOTE 1B,0,4.56094933,-72.77601961,2061984.2765,5024835.13138,
20,3,5,ACTIVA,1,LOTE 1B,0,4.56100343,-72.77608708,2061990.2528,5024827.64848,
